id,title,image_id,artist_display,date_display
131152,Gene and Nancy Bavinger House: South Elevation Showing Suspension Bridge over Ravine,9f0936f9-7c72-9962-af77-57cbcddcda57,"Bruce Alonzo Goff (American, 1904-1982)
Delineated by Herb Greene (Greenberg) (American, born 1929)",1950/51
28684,Path in the Woods,9b3935f2-2b4a-bd40-2bb3-3e7c0dbd9b81,"Charles François Daubigny
French, 1817-1878",n.d.
55840,Atlas Mtn Range Near: Rabat Morocco State of Africa,7906acf4-9f04-618d-b318-48713992220b,"Joseph Yoakum
American, 1890-1972",1964
3537,He Drove Away th[e] Fly,874ac653-1c2e-b283-d6ed-e000db833e1b,"Cecil Charles Windsor Aldin
English, 1870-1935",n.d.
45496,Rue Mouffetard Marketplace,d09e3507-e708-33dc-05cc-bf8370cc8eaa,"Lester George Hornby
American, 1881-1956",n.d.
104456,"Mr. and Mrs. Archie Hitchcock House, Highland Park, Illinois, Elevation",6695e701-319a-bf95-5f2b-afb4010238d6,"Lloyd Morgan Yost
American, 1908–1992",1945
84461,Battle of Lapiths and Centaurs,67739072-3d22-e736-040e-99b7f4e47e4b,"Unknown Artist
Italian, late 16th Century",n.d.
113056,Angled Beauty,c71c3c07-b0fd-c610-1d29-053d0878a101,"Arthur B. Davies
American, 1862-1928",c. 1918
85374,Cottage Beside Path,0cf738e1-eeda-31ff-754f-c062228089cf,"After John Varley
English, 1778-1842",n.d.
102682,"Armorial Bookplate for Crozat, Baron de Thiers",d9a7c0c0-48f9-3cc0-cefd-862c3cc4f3ad,"François Boucher
French, 1703-1770",c. 1753
200901,The Madame B Album,84ef4367-197d-db66-a4e6-69e3754e2e9c,"Marie-Blanche Hennelle Fournier
French, 1831–1906",1870
39221,Telegraphic Love,3dcf83bc-0a11-318e-31d5-22a75dbd0e46,"Hablot Knight Browne
English, 1815-1882",n.d.
155147,Fashion Design,5c932861-d93d-2298-9485-6aa954250cd9,France,1920s/30s
84238,Pond in a Wooded Landscape,6c86ffb6-628b-be6a-90ac-6d51001df158,"Unknown Artist
Dutch, 17th century",n.d.
85830,River Landscape with Boating Party,51f39fc9-df38-01e7-f094-23854b7b7cf9,"Style of Alessio de Marchis
Italian, 1684-1752",n.d.
115172,On the way from Val' Oscuro to Nice,520f2232-7435-e9e9-28c3-c0d1b9305fa5,"Elizabeth Murray
English, c. 1815-1882","March 8, 1842"
75186,Ecce Homo,54446800-d86d-60b3-fb78-6c823267d2d7,"Unknown artist
Austrian, 18th century",n.d.
210002,Convergence Exultation,2c1fa842-e603-3b47-1052-3a188cb06a17,"Leon Golub
American, 1922-2004",n.d.
25812,Bullfight,38636be8-f1bc-c451-ae65-c441919bd0c3,"Édouard Manet (French, 1832–1883)",1865–66
77048,Undiscovered Place,76c91d55-8966-09b8-a754-2fbef865893f,"Julia Thecla
American, 1896-1973",1951
82980,Man and Woman Embracing,ceadce93-0713-a2ee-1340-6ee38e3c625e,"Harrington Mann
Scottish, 1864-1937",n.d.
4560,A Youth,7162d76d-243e-798a-dd37-9d58018067bd,"Vernon Hill
English, born 1887",n.d.
80991,Virgin and Child before Saints Fabianus (or Gregory the Great) and Joseph,dcfb32fc-b577-c931-4865-ad7ae9a803ec,"Unknown Artist
Italian, Sienese (early/mid-16th Century)",1530/50
56031,Tree,eeaf61a9-af68-6ab7-ed30-a77dbf51e335,"Joann Middleton
American, born c. 1950",n.d.
93828,"Corner, 42nd and Broadway",1edbf62d-9b56-0435-125a-566d67206ce6,"Richard John Haas
American, born 1936",1976
31289,The Zither Player,99d71d28-08a8-badf-409c-f8739deab72a,"Thomas Eakins
American, 1844-1916",1876
